,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
5975-53-1,0,0,0,1,0,3.49E-94,0,0,2.84E-196
598-07-2,0,0,0,1,0,6.68E-30,2.14E-77,0,3.09E-83
5986-36-7,0,0,0,1.91E-189,0.383750424,9.80E-71,0.616249576,4.43E-199,8.56E-113
5986-49-2,0,0,0,1,4.31E-49,5.45E-105,2.55E-44,9.95E-51,6.89E-251
5988-72-7,0,0,0,9.22E-27,1,4.43E-141,5.25E-20,0,3.82E-105
5989/8/2,0,0,0,2.05E-23,3.98E-122,1.78E-55,1,1.27E-114,1.52E-46
5989-27-5,0,0,0,0.999999998,0,2.24E-126,1.80E-09,0,7.49E-97
5989-33-3,0,0,0,7.53E-28,1.37E-142,1,7.27E-215,0,1.53E-169
5989-54-8,1.60E-111,1.59E-118,3.22E-141,2.97E-86,4.55E-120,9.39E-92,1.89E-97,6.82E-142,1
60-33-3,0,0,0,0.999999998,0,1.78E-09,1.75E-33,1.79E-83,2.00E-126
6066-49-5,1.06E-05,5.37E-12,0.936999844,1.62E-09,0.062989506,3.19E-86,0,1.44909453925238e-320,4.46E-179
60761-00-4,0,0,0,1,0,7.92E-98,4.26E-24,0,0
61129-34-8,0,0,0,2.09E-92,1.46E-108,3.82E-56,1,0,1.35E-125
61141-72-8,0,0,0,0,0,2.02E-213,1,2.02285000937394e-316,4.44E-255
6168-59-8,0,0,0,1.37E-07,0,8.01E-268,0.999999863,0,4.13E-134
617-94-7,0,0,0,0.999999991,0,1.63E-185,9.21E-09,0,0
61886-66-6,0,0,0,1.37E-05,0,8.00E-159,0.999986272,6.39E-81,6.24E-234
619-62-5,0,0,0,3.43E-38,0,8.79E-103,1,0,6.52447223650697e-313
620-23-5,2.75E-268,0,0,1.88E-62,0,2.68E-38,1,1.92E-82,0
1962/10/8,0,0,0,6.17E-13,0,1.02E-96,1,1.40E-282,7.09E-124
62242-52-8,0,0,0,3.00E-29,1,4.02E-108,1.12E-59,0,3.01E-264
62338-17-4,0,0,0,1,3.86E-279,1.95E-224,3.15E-28,0,6.93E-110
6261-18-3,0,0,0,1,0,9.43E-212,1.06E-45,0,5.50E-98
626-93-7,0,0,0,1.01E-09,0.999999999,8.38E-221,4.00E-79,5.60E-54,1.03E-111
628-97-7,0,0,0,7.14E-32,0,1.03E-219,1,2.47032822920623e-323,8.68E-59
629-50-5,0,0,0,0.999574404,0,2.47E-109,0.000425596,0,0
629-54-9,1.04E-169,1.12E-176,2.06E-164,9.72E-173,1.32E-140,1,0,0,0
629-59-4,0,0,0,1,2.04E-177,4.13E-188,0,0,2.29E-146
629-62-9,0,0,0,1.69E-46,0,3.50E-39,1,0,1.23E-191
629-66-3,0,0,0,1,0,2.34E-304,0,0,3.11E-126
629-73-2,0,0,0,0.072543779,0,0,0.927456221,0,1.03E-127
629-78-7,0,0,0,1,0,1.05E-121,0,0,9.08E-223
629-80-1,0,0,0,1,2.96E-64,9.05E-215,1.95E-17,2.96E-294,0
629-82-3,6.24E-28,1.84E-28,5.32E-57,0,1,6.49E-109,0,1.48219693752374e-323,1.10E-243
629-92-5,0,0,0,7.82E-42,0,4.89E-168,1,0,0
629-94-7,0,0,0,1,0,3.99E-69,6.02E-12,7.62E-222,6.70E-302
629-97-0,0,0,0,1.71E-14,4.63E-32,6.15E-50,1,0,1.51E-162
629-99-2,0,0,0,1,0,7.29E-129,6.66E-30,0,4.37E-217
630-01-3,0,0,0,3.52E-09,0.721363364,1.91E-111,0.278636632,0,3.08E-275
630-02-4,0,0,0,2.22E-84,0,1.03E-78,1,0,0
630-03-5,0,0,0,1.58E-75,1,2.10E-76,2.46E-47,0,8.40E-154
637-69-4,0,0,0,1,0,1.37E-180,6.86E-225,0,8.38E-210
6379-72-2,0,0,0,5.36E-12,0,4.25E-50,1,2.37E-306,4.29E-194
6379-73-3,0,0,0,1,0,3.05E-74,6.40E-79,0,2.69E-278
6380-24-1,5.48E-12,0.999999487,2.52E-27,5.13E-07,4.35E-15,1.63E-197,0,0,4.91E-109
638-53-9,2.29E-210,1.15E-158,5.22E-209,4.02E-17,5.72E-133,1,2.68E-201,7.38E-187,2.82E-38
638-66-4,0,0,0,2.67E-21,0,8.81E-65,1,0,7.89E-243
638-67-5,0,0,0,2.11E-56,0,1.54E-180,1,0,0
638-68-6,0.015091934,0.984898363,1.09E-20,9.70E-06,2.98E-101,1.57E-83,0,0,2.97E-46
63891-61-2,0,0,0,1,2.13E-136,1.76E-165,6.09E-26,5.19E-116,1.30E-275
639-99-6,0,0,0,1,0,3.08E-36,0,0,8.76E-157
644-30-4,0,0,0,1,0,3.57E-105,3.84E-90,0,8.43E-279
64461-99-0,2.98E-57,8.94E-63,1.75E-80,2.56E-281,2.09E-231,1,7.54E-83,0,9.49E-59
646-31-1,0,0,0,1.41E-79,3.81E-140,6.23E-180,1,9.47E-112,8.50E-144
64825-84-9,0,0,0,3.02E-15,0,4.85E-166,1,4.73832891842296e-315,3.64E-142
6485-40-1,0,0,0,1,0,4.01E-52,0,0,1.07E-21
65018-14-6,0,0,0,8.56E-25,0,1.03E-94,1,0,5.77E-208
65018-15-7,0,0,0,1.87E-18,0,4.06E-180,1,0,1.30E-73
65293-09-6,0,0,0,1,0,1.08E-80,4.11E-17,4.88E-43,8.66E-51
6544-40-7,0,0,0,0.999993807,6.19E-06,2.38E-145,2.87E-09,1.46E-23,6.67E-133
65-85-0,0,0,0,9.01E-37,1.66E-42,3.01E-116,1,1.56E-48,1.04E-72
659-70-1,0,0,0,1,1.27E-41,0,3.66E-37,0,7.13E-36
66-25-1,0,0,0,9.89E-26,1,3.98E-36,3.92E-12,3.05E-47,1.31E-81
6628/6/4,0,0,0,4.33E-298,1,2.51E-63,1.02E-294,8.94258818972656e-322,7.93E-249
66408-55-7,4.08E-78,3.71E-43,8.29E-42,0.986949542,0,3.71E-108,1.35E-36,0.013050458,3.48E-190
66512-56-9,0,0,0,3.59E-09,5.42E-20,1.93E-78,0.999999996,1.10E-42,1.01E-144
66537-42-6,0,0,0,1,2.67E-166,3.13E-217,0,0,7.22E-150
666-84-2,0,0,0,1,0,1.80E-151,3.07E-59,0,1.32E-249
66873-37-8,0,0,0,3.67E-44,0,2.26E-10,1,0,3.24E-66
66873-38-9,0,0,0,1,0,5.93E-181,1.66E-142,0,1.19E-178
66964-63-4,0,0,0,1,0,1.06E-37,0,0,2.95E-308
6704-50-3,0,0,0,2.22E-35,4.89E-60,3.89E-174,1,3.91E-73,4.29E-65
6712-79-4,0,0,0,0.000250743,0.999749257,0,4.52E-17,6.40E-234,6.26E-114
6728-26-3,0,0,0,3.73E-31,1.39E-140,9.54E-30,1,6.38E-159,1.01E-152
673-84-7,0,0,0,0.855004328,0,0.144995672,0,0,2.00E-97
674819-48-8,0,0,0,1,0,2.69E-187,4.83E-175,0,2.55E-213
6750-60-3,1.21E-284,8.53E-277,4.44E-285,1,0,2.08E-26,1.63E-285,2.61E-286,1.92E-14
6753-98-6,5.51E-53,3.02E-53,2.03E-53,7.75E-07,0.997882174,0.001520447,2.22E-06,3.50E-05,0.000559344
6765-39-5,4.96E-32,1.23E-08,4.48E-12,0.999999988,6.87E-16,2.05E-270,9.23E-14,0,3.18E-177
67883-79-8,1.28E-257,5.27E-251,4.62E-258,1.07E-272,0,1,9.38E-247,1.33E-246,9.47E-236
6789-80-6,0,0,0,0.999999992,4.20E-291,8.01E-09,1.58E-20,0,1.02E-227
6789-88-4,7.39E-260,1.17E-279,2.92E-224,0,0,2.02E-18,0,0,1
6813/5/4,0,0,0,0.000465964,0,6.60E-67,0,0.999534036,6.13E-22
6813-21-4,0,0,0,1.75E-96,0,2.62E-46,1,0,6.74E-81
68133-75-5,0,0,0,5.58E-67,0,1,0,1.03769449063942e-313,0
68269-87-4,0,0,0,3.99E-65,1,3.26E-45,2.77E-162,0,3.55E-97
6831-16-9,0,0,0,5.02E-74,0,5.97E-59,1,6.21E-184,7.94E-206
68705-63-5,0,0,0,0,1,2.58E-75,5.18E-50,0,4.43E-69
68832-35-9,0,0,0,3.40E-30,0,7.54E-93,1,0,0
6892-80-4,0,0,0,2.33E-58,3.55E-139,7.72E-167,1,1.37E-200,1.02E-161
69134-53-8,0,0,0,1.28E-175,1,1.16E-167,0,1.10E-133,0
693-61-8,0,0,0,1,0,1.49E-217,5.67E-99,2.17E-225,0
6938-46-1,0,0,0,1,0,1.78E-65,1.16E-94,2.76E-108,4.27E-285
69394-04-3,0,0,0,9.91E-56,0,1.59E-103,1,0,2.02E-19
69401-36-1,0,0,0,6.25E-41,1,0.00E+00,6.28E-22,1.38E-168,1.06E-199
6975-98-0,0,0,0,0.999999958,0,1.89E-150,4.23E-08,3.47E-182,3.49E-178
6980-46-7,0,0,0,3.38E-34,0,4.28E-98,1,0,4.01E-114
698365-10-5,0,0,0,6.95E-09,1.01E-18,3.15E-191,0.999999993,2.18E-26,2.19E-181
698388-95-3,2.98415650088113e-321,3.18E-304,0,1,0,5.00E-54,7.16E-287,3.30E-265,7.93E-54
69845-62-1,0,0,4.94065645841247e-324,9.03E-203,1.93E-197,0.999978366,0,9.43260861232241e-314,2.16E-05
70000-19-0,0,0,1.13E-153,0.015968471,0,3.38E-51,0.984031529,0,1.31E-120
70191-49-0,0,0,0,1,5.05E-42,3.06E-164,1.98E-13,1.77E-90,6.29E-127
705-86-2,0,0,0,1,0,1.42E-88,1.82E-26,0,0
70954-41-5,0,0,0,6.13E-79,1,2.00E-136,1.08E-99,3.18140761517274e-316,6.70E-146
7132-64-1,0,0,0,0.999848965,2.23E-164,1.42E-173,0.000151035,0,1.52E-286
7154-80-5,0,0,0,9.41E-22,0,6.26E-211,1,0,0
71672-25-8,0.956722251,2.42E-12,4.22E-50,3.60E-34,0,1.18E-180,0,0,0.043277749
71820-56-9,0,0,0,3.92E-32,0,1,7.41E-34,0,7.61E-80
71873-66-0,2.44E-48,1.11E-37,2.58E-71,0,0,1,6.41E-53,0,0
7212-44-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7216-56-0,0,0,0,3.85E-160,0.189659765,1.04E-71,0.810340235,3.95E-302,2.39E-25
72203-99-7,0,0,0,5.02E-05,0,5.28E-123,0.999949814,0,1.75E-154
7220-78-2,0,0,0,1.55E-113,1,7.77E-133,1.13E-58,0,7.49E-220
72247-00-8,0,0,0,1,4.16E-13,1.38E-154,1.48E-36,3.54E-18,9.44E-155
72687-68-4,0,0,0,1,0,8.16E-84,0,0,1.00E-96
72779-23-8,0,0,0,1.68E-15,0,1.11E-56,1,0,8.32E-109
72917-31-8,4.34E-85,3.28E-124,1.68E-77,8.42E-264,0,0,1,0,0
72934-02-2,0,0,0,0,6.81E-84,0.999999983,0,0,1.71E-08
72937-55-4,0,0,0,2.06E-24,0,2.18E-147,1,0,6.80E-287
729602-94-2,0,0,0,9.28E-29,5.50E-210,1,1.08E-14,0,0
7299-40-3,0,0,0,9.16E-45,0,1.23E-61,1,0,9.58E-222
7299-41-4,0,0,0,1.06E-56,0,2.39E-78,1,0,2.14E-218
7299-42-5,0,0,0,1,0,2.77E-47,0,0,1.35E-236
73019-15-5,0,0,0,1,1.24E-136,9.26E-102,1.69E-147,0,3.37E-210
73109-76-9,0,0,0,4.93E-38,0,1,4.66E-286,0,2.91E-203
73209-42-4,0,0,0,2.12E-42,3.10E-146,8.13E-138,2.66E-45,1,4.23E-53
7333-25-7,0,0,0,2.75E-22,0,1.30E-92,1,0,0
73365-77-2,0,0,0,3.06E-19,2.84E-112,1.38E-17,0.999999187,3.08E-196,8.13E-07
73366-18-4,0,0,0,1,0,4.27E-147,3.03E-40,0,0
73464-47-8,0,0,0,1,0,6.72E-41,2.47E-38,0,1.06E-262
73809-82-2,0,0,0,0.999999971,2.86E-08,1.65E-99,9.75E-34,0,3.32E-85
7541-49-3,1.89E-171,2.66E-113,4.06E-92,1.92E-98,1.49E-222,4.42E-104,1,0,6.15E-131
7564-64-9,3.55E-305,0,1.00408827806592e-316,1,1.47E-176,2.58E-72,0,0,0
76109-40-5,2.14E-279,1.29E-277,7.68352613465607e-315,4.83E-07,3.68E-261,0.999999516,1.22E-289,1.02E-304,1.16E-09
76-22-2,1.51299595234763e-316,6.26999936642584e-317,5.56574189067741e-317,1,4.26665210435584e-318,7.47E-14,1.17E-40,2.04764864633565e-317,8.63E-69
76250-14-1,0,0,0,1,0,6.44E-53,0,0,3.21E-177
76-49-3,8.42E-163,5.85E-162,3.10E-163,8.26E-28,3.33E-78,4.72E-15,4.37E-76,1.22E-78,1
76-50-6,0,0,0,1,0,2.02E-167,1.83E-61,0,3.31E-203
7712-46-1,0,0,0,1,0,5.44E-217,1.04E-52,0,5.99E-113
7715-48-2,0,0,0,0.999999994,1.12E-57,1.11E-217,6.11E-09,0,6.02E-11
77171-55-2,0,0,0,0,0,1.46E-141,0,0,1
77318-47-9,0,0,0,1,0,1.53E-191,3.56E-57,0,1.24E-244
77318-48-0,0,0,0,6.67E-93,0,1.20E-142,1,0,4.25E-126
77-53-2,0,0,0,1,0,2.28E-50,2.28E-67,2.23E-173,4.21E-109
7785-33-3,0,0,0,1,0,6.69E-154,7.66E-13,0,4.52E-148
7786-61-0,0,0,0,1,0,5.46E-158,2.78E-45,0,0
77898-97-6,0,0,0,1.17E-15,3.10E-210,1.46E-89,1,0,2.42E-132
78148-59-1,0,0,0,0,6.45E-35,1.04E-104,1,0,8.73E-162
78204-62-3,0,0,0,0.000144298,6.13E-86,2.41E-125,0.999855702,5.44E-106,5.73E-188
78392-83-3,0,0,0,2.15E-95,0,4.04E-125,1,0,2.63E-225
78548-53-5,0,0,0,0.999834349,0,1.40E-97,0.000165651,0,1.33E-220
78683-81-5,0,0,0,1,0,2.31E-81,8.05E-82,1.09E-103,0
78-70-6,2.58E-194,6.76E-196,4.40E-193,1.36E-133,0,0.001134968,1.37E-104,8.13E-195,0.998865032
78774-33-1,0,0,0,1,0,1.04E-134,0,0,9.38E-25
79120-98-2,0,0,0,0.999964973,0,9.29E-93,3.50E-05,0,0
79560-34-2,0,0,0,0,0,6.57E-31,0,0,1
79-77-6,0,0,0,1.90E-06,2.19E-113,5.81E-110,0.999998105,0,2.73E-154
79-92-5,3.09E-62,1.14E-62,1.14E-62,0.00343508,0.000559957,0.727019466,0.001263831,0.000205996,0.26751567
8013-00-1,0,0,0,6.33E-18,1.91E-99,6.64E-153,1,3.84E-99,1.74E-117
80-26-2,8.64106866752371e-313,3.19788923484589e-313,3.17897824903691e-313,3.33E-305,3.17839752457323e-313,2.32E-56,1,1.15384860506177e-313,1.22E-72
80-53-5,0,0,0,1,0,5.10E-114,2.89E-111,0,8.82055397520377e-320
80-56-8,4.00E-17,3.57E-14,1.47E-17,1.09E-17,0.5,0.5,5.41E-18,4.68E-18,5.90E-18
80-57-9,0,0,0,1.31E-11,0,1,3.00E-29,0,1.95E-25
81370-73-2,0,0,0,5.20E-19,1,3.66E-114,1.80E-26,0,2.36E-103
81939-29-9,0,0,0,2.15E-148,2.57E-136,1,2.72E-70,1.11E-157,2.45E-86
821-55-6,0,0,0,0,0,4.11E-15,0,0,1
82189-85-3,0,0,0,1,0,5.45E-293,3.05E-31,2.40E-235,0
821-97-6,0,0,0,1,0,5.27E-232,1.51E-14,0,1.31E-298
822-66-2,0,0,0,7.09E-107,0,1.08E-137,1,0,1.33E-172
82508-14-3,0,0,0,1,1.70E-215,2.98E-175,4.21E-15,2.07E-78,1.02E-122
82508-15-4,0,0,0,1,1.28E-107,5.93E-121,1.16E-23,3.00E-226,3.62E-61
84-66-2,0,0,0,2.06E-98,8.21E-150,1.14E-39,3.16E-138,0,1
84-69-5,0,0,0,4.08E-31,0,2.15E-63,1,0,0
847374-82-7,0,0,0,3.85E-169,2.23238775068064e-311,1.11E-100,1,0,6.5895430831739e-314
84-74-2,0,0,0,3.70E-222,8.24E-65,2.74E-102,1,0,0
1985/1/8,0,0,0,1.67E-46,0,2.88E-73,1,0,5.00E-174
85409-36-5,0,0,0,1.29E-85,2.81E-65,4.51E-107,1,0,2.92E-133
855270-07-4,0,0,0,1,1.57E-13,6.92E-171,2.63E-23,2.68607780356348e-317,3.16E-258
85710-39-0,0,0,0,0.122831817,0.874303394,9.18E-190,0.002864788,0,6.90E-268
872-05-9,0,0,0,7.23E-123,0,2.75E-178,1,0,1.15E-14
87-44-5,2.93E-60,2.43E-59,1.08E-60,9.30E-09,0.00020679,0.999142086,1.53E-08,3.72E-05,0.000613944
87-51-4,0,0,0,1,0,2.84E-99,5.99E-67,0,4.88E-70
88191-46-2,0,0,0,1.09E-25,1.49E-242,4.87E-188,1,4.45E-135,2.21E-129
88494-77-3,0,0,0,1,0,1.52E-99,0,0,5.03E-267
88728-58-9,0,0,0,0.999998472,8.14E-226,1.65E-119,1.53E-06,5.88E-225,0
88-84-6,0,0,0,1.99E-69,3.33E-127,0,1,0,9.83E-75
88-99-3,0,0,0,8.55E-26,0,2.21E-241,1,0,1.01E-150
89618-20-2,0,0,0,6.09E-79,0,1,4.89E-37,0,2.11E-39
89-79-2,0,0,0,1.60E-05,9.98E-85,9.67E-112,0.999984027,0,2.61E-216
89-80-5,0,0,0,0,0,3.12E-59,1,0,7.42E-53
89-81-6,0,0,0,1,0,2.64E-88,1.07E-65,0,3.36E-73
89-82-7,0,0,0,1,0,3.07E-134,7.63E-37,0,1.44E-294
89-83-8,0,0,0,1,3.28E-173,1.63E-154,1.87E-11,2.36E-179,1.61E-79
1990/5/1,0,0,0,8.24E-12,0,2.11E-187,1,0,0
90-15-3,0,0,0,1.96E-05,0.99998041,2.95E-73,3.69E-29,0,8.04E-220
91050-14-5,0,0,0,4.19E-11,0,2.20E-199,1,0,1.34E-115
1991/10/1,1.77E-272,2.06E-269,2.05E-243,1,0,9.00E-81,9.61E-45,4.67E-241,1.90E-103
91-20-3,0,0,0,9.88E-06,0,1.72E-69,0.999990123,0,1.08E-274
913176-41-7,0,0,0,5.50E-43,5.43E-16,1.98E-91,1,0,0
913972-09-5,0,0,0,1,0,5.81E-107,3.14E-22,1.41837052141964e-313,3.71E-190
915392-38-0,0,0,0,1,3.06E-65,1.89E-105,4.78E-54,0,1.73E-78
91-64-5,0,0,0,2.22E-82,0,2.36E-142,1,0,1.02E-244
91819-58-8,0,0,0,1,5.65309911971554e-320,1.70E-36,4.84E-42,0,1.61E-99
92353-11-2,0,0,0,1.47E-81,0,2.68E-115,1,0,0
92760-25-3,0,0,0,1.02E-07,0,1.09E-28,0.999999882,2.87E-253,1.60E-08
928-95-0,2.85E-260,1.02E-272,0,1,1.18E-173,3.52E-20,0,0,1.73E-292
928-96-1,0,0,0,1,4.59E-247,5.81E-107,1.78E-90,3.33E-149,4.20E-145
928-97-2,0,0,0,4.41E-06,0.999995589,5.61E-119,1.47E-48,8.90E-15,2.07E-209
929285-30-3,0,0,0,1.72E-69,0,3.30E-81,7.26E-52,0,1
1993/10/7,0,0,0,1,0,1.01E-105,4.02E-121,0,0
931410-54-7,0,0,0,6.91E-09,0,2.47E-142,0.999999993,0,1.80E-117
93-15-2,0,0,0,2.77E-36,8.73E-64,4.81E-135,0.990353441,6.41E-76,0.009646559
93-16-3,0,0,0,1.03E-38,1.10E-52,1.38E-155,1,3.23E-63,1.16E-23
935-00-2,7.57E-11,1.54E-33,0.989207698,4.98E-07,0.010790915,8.89E-07,4.22E-49,0,8.17E-90
93-51-6,0,0,0,2.47E-139,0,6.59E-237,1,0,1.18E-21
93-58-3,0,0,0,1.08E-11,0,7.90E-141,1,0,5.28140315897061e-317
93-89-0,0,0,0,0,0,1,0,0,1.35E-92
94200-10-9,0,0,0,4.98E-88,0,7.47E-56,1,0,0
94-46-2,0,0,0,1,1.50E-97,5.03E-230,0,0,0
94482-89-0,0,0,0,1,0,9.34E-25,2.21E-57,0,0
94-48-4,0,0,0,1,4.52E-67,1.59E-153,1.55E-19,0,1.62E-182
94-59-7,0,0,0,0.999887312,0.000112688,2.02E-55,4.64E-11,5.74663090584273e-312,1.40E-123
95452-08-7,0,0,0,9.67E-24,0.063533664,9.64E-97,7.11E-19,0.936466336,3.62E-211
95-48-7,0,0,0,4.14E-63,0,6.37E-11,1,0,3.25E-148
95-65-8,0,0,0,1,0,3.19E-134,7.44E-59,0,2.20E-218
95910-36-4,0,0,0,1,0,9.32E-56,0,0,0
96-76-4,2.10E-81,6.57E-76,9.06E-126,2.12E-79,0,1,0,0,0
97-53-0,0,0,0,1,3.62E-58,1.25E-179,8.36E-15,0,6.53E-175
1998/1/1,0,0,0,1,3.29E-217,2.23E-98,3.11E-204,0,1.85E-77
98-55-5,1.93E-57,3.26E-65,7.57E-66,1.82E-06,0.109884762,0.57442433,6.93E-59,0.04042684,0.275262246
98-83-9,0,0,0,1,0,2.57E-94,0,0,2.33E-162
98-86-2,0,0,0,1,0,1.12E-166,1.61E-43,0,5.25E-37
99172-18-6,0,0,0,6.18E-07,0,8.90E-149,0.999999382,0,1.05E-96
99-49-0,0,0,0,1,0,1.17E-94,3.80E-22,0,1.86E-24
99-83-2,2.91E-273,3.99E-273,7.37E-273,7.79E-23,6.63E-128,0.986109055,9.55E-155,6.55E-131,0.013890945
99-84-3,0,0,0,3.84E-80,0,2.21E-59,1,0,6.04E-202
99-85-4,2.12E-65,2.45E-58,7.80E-66,0.005256808,2.35E-10,0.990933662,0.001933929,8.64E-11,0.001875601
99-86-5,3.72E-60,3.44E-50,1.37E-60,0.001322446,1.68E-60,0.729771764,0.000432254,1.96E-06,0.268471574
99-87-6,4.31E-114,2.85E-115,2.79E-107,3.07E-102,3.75E-102,0.9999933,5.15E-115,6.09E-115,6.70E-06
